A,B,C,G,,,,,,,,,
48103,37185,46238,0,34.15,360.31,-293.33,53.35,,,,,
48103,37185,46238,0,24.70,353.59,-294.13,53.37,,,,,
48240,37185,46238,0,19.68,361.68,-298.11,53.50,,,,,
48240,37003,46238,0,19.68,361.68,-301.55,53.60,,,,,
48240,37003,47059,0,19.68,361.68,-303.73,53.73,,,,,
48240,37003,47059,0,19.68,361.68,-304.05,53.75,,,,,
47461,37003,47059,0,19.68,361.68,-305.82,53.88,,,,,
47461,36970,47059,0,19.68,361.68,-306.90,53.98,,,,,
47461,36970,47627,0,19.68,361.68,-312.18,54.11,,,,,
47461,36970,47627,0,19.68,361.68,-313.15,54.13,,,,,
47581,36970,47627,0,19.68,361.68,-318.08,54.26,,,,,
47581,36969,47627,0,19.68,361.68,-321.87,54.36,,,,,
47581,36969,47333,0,197.07,352.83,-323.17,54.49,,,,,
47581,36969,47333,0,237.05,346.32,-323.21,54.51,,,,,
47502,36969,47333,0,287.00,339.35,-325.56,54.64,,,,,
47502,37079,47333,0,319.77,330.95,-328.58,54.74,,,,,
47502,37079,46794,0,349.64,328.37,-329.93,54.87,,,,,
47502,37079,46794,0,352.38,326.32,-330.18,54.89,,,,,
47401,37079,46794,0,352.38,326.32,-332.85,55.02,,,,,
47401,37185,46794,0,352.38,326.32,-332.83,55.12,,,,,
47401,37185,46346,0,352.38,326.32,-333.28,55.25,,,,,
47401,37185,46346,0,352.38,326.32,-333.29,55.27,,,,,
47465,37185,46346,0,352.38,326.32,-333.04,55.40,,,,,
